Symbol,Read_count,FPKM_value,TPM_value
CALR,158134,727.88,2789.95
HSP90AB1,165217,692.6,2654.73
HSP90AA1,267686,637.2,2442.38
PTMA,103885,384.18,1472.56
NPM1,105194,343.29,1315.83
RPS3A,56698,302.56,1159.71
EZR,74906,280,1073.24
RHOA,50680,245.2,939.85
HNRNPA2B1,135642,224.7,861.27
RPL5,51729,223.6,857.06
H3-3A,51005,202.53,776.3
YWHAE,61801,200.69,769.24
B2M,58876,197.29,756.21
CCND1,76128,196.9,754.72
PABPC1,66034,173.59,665.37
HMGA1,31300,168.03,644.06
SET,54750,157.05,601.97
CNBP,23946,155.24,595.03
ATP1A1,86631,149.05,571.31
RPL10,57380,148.56,569.43
MYH9,105055,146.49,561.49
TPM4,84091,141.69,543.1
SDC4,26826,128.25,491.58
DHX9,57479,127.2,487.56
TPM3,79718,118.71,455.01
DDX5,69281,118.25,453.25
RPN1,37332,116.82,447.77
AXIN2,48827,116.72,447.39
DDX3X,74685,105.05,402.66
GNAS,109007,102.23,391.85
RAC1,25030,100.41,384.87
TOP2A,50465,97.94,375.4
DEK,33411,95.71,366.86
SRSF2,22590,93.54,358.54
CTNNB1,49075,92.69,355.28
HLA-A,19511,89.94,344.74
NONO,37994,89.69,343.78
PCBP1,12530,89.45,342.86
SFPQ,52176,87.77,336.42
CDKN1A,21192,86.8,332.7
HIF1A,35417,85.89,329.22
TOP1,24923,83.29,319.25
EPHA2,27565,82.8,317.37
RAD21,41019,82.76,317.22
LMNA,45596,81.55,312.58
KIF5B,37233,79.14,303.34
FAT1,100491,77.6,297.44
CLTC,72647,76.68,293.91
U2AF2,24498,74.37,285.06
PPP2R1A,44266,74.36,285.02
H3-3B,35628,72.56,278.12
IDH1,26779,70.86,271.61
SRSF3,39967,70.14,268.85
BAX,14490,69.97,268.19
FH,11867,69.21,265.28
EIF1AX,24479,69.08,264.78
FUS,56082,68.13,261.14
SF3B1,45194,61.61,236.15
RHPN2,23234,60.42,231.59
ID3,8528,59.28,227.22
BMPR2,55024,57.8,221.55
FSTL3,13889,56.89,218.06
JUN,15883,56.05,214.84
HSPG2,79043,55.89,214.23
CHD4,33100,55.32,212.04
RPL22,20894,53.27,204.18
EIF4A2,25377,51.69,198.13
KLF5,15156,48.63,186.4
IRAK1,15288,47.73,182.95
PTPN11,26709,47.69,182.8
PTPRK,34263,47.56,182.3
MSN,22640,47.37,181.57
SOX9,14571,46.26,177.31
ELF3,26166,45.46,174.25
ZFP36L1,18614,45.06,172.71
LASP1,25208,44.6,170.95
SBDS,6090,43.93,168.38
ATIC,13705,43.59,167.08
XPO1,40555,43.27,165.85
EXT2,18297,43.24,165.74
EIF3E,20738,43.14,165.36
NCOA4,13700,41.96,160.83
IFNGR1,8545,41.52,159.15
TPR,40908,41.38,158.61
SMC1A,34671,41.31,158.34
TCEA1,14438,41.08,157.46
SMARCB1,8100,40.79,156.35
CDK6,39588,40.34,154.62
CBFB,13309,40.27,154.35
RBM39,29826,40.03,153.43
SND1,20645,39.68,152.09
EWSR1,32268,39.04,149.64
FUBP1,16743,36.91,141.48
NRAS,12894,36.21,138.79
KLF6,17546,35.7,136.84
EZH2,12828,35.44,135.84
ARHGAP35,31055,34.5,132.24
CDKN1B,7663,34.06,130.55
BCLAF1,25305,34,130.32
PRKAR1A,18346,33.6,128.79
PICALM,15453,33.1,126.87
AJUBA,15724,32.85,125.91
KTN1,45357,32.24,123.58
DNAJB1,9396,31.97,122.54
RNF43,18928,31.51,120.78
TAF15,14709,31.1,119.21
CBLC,3753,29.69,113.8
CANT1,10481,29.62,113.53
MYD88,9392,29.41,112.73
CDK4,7439,29.33,112.42
APOBEC3B,4447,29.3,112.31
PRCC,9365,28.48,109.16
HLA-B,6831,28.33,108.59
ACSL3,16378,28.26,108.32
MYC,6741,28.06,107.55
PARP4,13653,28.05,107.52
SDHB,5410,27.45,105.22
KDM6A,15593,27.29,104.6
NFE2L2,12957,27.07,103.76
RANBP2,26343,26.75,102.53
PAK2,13170,26.24,100.58
EHD2,8236,26.23,100.54
BUB1B,9258,25.84,99.04
CTCF,8873,25.77,98.78
TCF3,12519,25.72,98.58
KDM3B,16296,25.57,98.01
NUP98,20093,25.34,97.13
GOLGA5,6612,25.07,96.09
KIFC1,6706,25.04,95.98
MDM2,26508,24.95,95.63
RIPK1,8075,23.84,91.38
SMARCA4,20779,23.46,89.92
SEPTIN9,23950,23.29,89.27
GOPC,9311,23.21,88.96
MSH2,8439,23.16,88.77
UBE2D2,6547,23,88.16
ASXL1,17354,22.93,87.89
AFF4,20542,22.72,87.09
SDHD,4488,22.35,85.67
GNAQ,11841,22.31,85.51
ABL1,11149,22.19,85.05
STAT3,15548,22.04,84.48
PRKD2,9548,21.9,83.94
KEAP1,6563,21.8,83.56
MUC1,8142,21.56,82.64
TFG,8522,21.32,81.72
USP9X,23665,21.17,81.14
MAP2K1,6352,21.11,80.91
EML4,14031,20.97,80.38
CCDC6,12302,20.92,80.19
SUZ12,10925,20.85,79.92
NPEPPS,19110,20.73,79.46
ABI1,6969,20.64,79.11
STAG2,13519,20.63,79.07
ARID1A,15142,20.46,78.42
KDM5C,14130,20.23,77.54
BCL2L12,3576,20.16,77.27
CCNE1,4107,20.12,77.12
SMARCD1,8249,20.06,76.89
AKT1,17873,20,76.66
EFTUD2,16483,19.85,76.08
TRAF7,7126,19.83,76.01
PLCG1,15268,19.77,75.78
UBE2A,8310,19.68,75.43
JAK1,9914,19.61,75.16
SH3GL1,5694,19.3,73.98
HRAS,2842,19.15,73.4
ERBB2,15588,18.87,72.33
PAFAH1B2,10610,18.66,71.52
TBL1XR1,15667,18.44,70.68
FGFR4,7119,18.42,70.6
RBM10,5665,18.2,69.76
TRIM24,13328,18.05,69.19
RRAS2,4977,18.01,69.03
ARHGAP5,15629,17.93,68.73
RBM38,3853,17.92,68.69
MAPK1,15902,17.52,67.15
CDC73,7490,17.48,67
DNM2,18799,17.47,66.96
STAT6,10183,17.43,66.81
DDX6,15927,17.39,66.66
DAXX,5092,17.36,66.54
PPP6C,6145,17.28,66.23
NFKBIA,3278,17.26,66.16
CDX2,5640,17.09,65.51
TGFBR2,6431,17.08,65.47
SDHA,11416,17.01,65.2
GNA13,6922,16.94,64.93
SYK,7063,16.94,64.93
RUNX1,21071,16.9,64.78
SETD2,13530,16.87,64.66
BAP1,6809,16.83,64.51
POLD1,6534,16.8,64.39
