Symbol,Read_count,FPKM_value,TPM_value
B2M,319110,679.71,2389.38
HLA-A,111512,326.75,1148.62
RPS3A,94814,321.61,1130.55
HLA-B,118165,311.53,1095.12
CNBP,60876,250.86,881.85
RPL10,150304,247.36,869.54
NPM1,112502,233.37,820.36
PABPC1,134163,224.19,788.09
CALR,72408,211.85,744.71
H3-3A,81243,205.06,720.85
DDX5,179589,194.84,684.92
H3-3B,144228,186.71,656.34
PTMA,76047,178.77,628.43
PCBP1,36312,164.77,579.21
YWHAE,76430,157.76,554.57
IFNGR1,47207,145.8,512.53
IDH1,84767,142.58,501.21
HSP90AA1,92834,140.47,493.79
RPL5,50425,138.55,487.04
ATP1A1,124122,135.74,477.17
HSP90AB1,45973,122.5,430.62
KLF5,56340,114.92,403.98
SBDS,24592,112.75,396.35
CDH1,86844,111.64,392.45
LASP1,88876,99.95,351.35
RHOA,31579,97.12,341.41
DDIT3,15182,95.23,334.76
SET,51270,93.48,328.61
RPL22,57165,92.64,325.66
RPN1,46479,92.45,324.99
SDC4,28236,85.81,301.65
HNRNPA2B1,79168,83.36,293.03
HMGA1,23549,80.36,282.49
LMNA,69889,79.45,279.29
CLTC,117801,79.03,277.81
MYH9,88569,78.5,275.95
HERPUD1,50768,78.2,274.9
TCEA1,43024,77.81,273.52
RAC1,29459,75.12,264.07
CANT1,41513,74.56,262.1
NCOA4,37564,73.13,257.07
SOX9,34073,68.76,241.71
NONO,44225,66.36,233.27
PARP4,49136,64.17,225.58
RBM39,74526,63.59,223.54
TPM4,56379,60.38,212.25
ELF3,53583,59.17,208
CTNNB1,49118,58.97,207.3
SRSF2,22293,58.68,206.28
LCK,24559,58.41,205.33
SND1,46469,56.77,199.56
EZR,23520,55.88,196.43
RNF6,31936,54.88,192.92
U2AF2,28402,54.81,192.67
TPM3,57047,54,189.83
SDHD,17056,53.98,189.76
BTG1,32040,52.41,184.24
ZFP36L1,33851,52.09,183.11
BCLAF1,60120,51.35,180.51
IRAK1,25645,50.9,178.93
SFPQ,47509,50.8,178.58
TOP1,23526,49.98,175.69
DEK,26948,49.07,172.5
ACSL3,44435,48.74,171.34
EIF3E,36578,48.37,170.03
SF3B1,55095,47.74,167.82
EIF4A2,36305,47.01,165.25
JAK1,36751,46.2,162.41
TFG,28811,45.81,161.04
RB1,35553,45.76,160.86
RAD21,35340,45.32,159.31
TP53,22149,44.68,157.06
FAT1,89240,43.8,153.97
TAF15,31869,42.83,150.56
GNAS,71077,42.37,148.94
SEPTIN9,68270,42.21,148.38
HIF1A,26948,41.54,146.03
ATIC,20368,41.18,144.76
DDX3X,45534,40.71,143.11
EWSR1,50371,38.74,136.18
IDH2,13663,38.56,135.55
TRAF7,21775,38.52,135.41
RASA1,25146,38.16,134.14
EIF1AX,21037,37.73,132.63
PAK2,29681,37.59,132.14
DHX9,26573,37.38,131.4
DNAJB1,17158,37.1,130.42
FH,9922,36.78,129.29
CCND1,21944,36.08,126.83
SDHB,11133,35.91,126.23
CHD4,33787,35.9,126.2
UBE2D2,15843,35.38,124.37
MYC,13230,35.01,123.07
PRKAR1A,29206,34,119.52
SRC,27248,33.45,117.59
ERBB3,36276,33.27,116.95
TGFBR2,19595,33.08,116.29
GOLGA5,13699,33.01,116.04
MAP2K1,15542,32.83,115.41
KIF5B,24146,32.62,114.67
PPP6C,17321,30.96,108.83
ZMYM2,52682,30.72,107.99
ZBTB7B,16191,29.88,105.04
DIS3,38643,28.32,99.55
FUS,36533,28.21,99.17
ESRRA,10628,27.85,97.9
SMARCB1,8646,27.67,97.27
KDM5C,30308,27.58,96.95
EPHA2,14341,27.38,96.25
CDK4,10917,27.36,96.18
STAT6,25012,27.21,95.65
RNF43,25398,26.87,94.46
MET,23809,26.86,94.42
FUBP1,19017,26.65,93.68
PTPN11,23391,26.55,93.33
CTCF,14321,26.44,92.94
TCIRG1,14313,25.93,91.15
UBE2A,17194,25.88,90.98
CREB3L2,28478,25.73,90.45
SDHA,26989,25.57,89.89
PICALM,18700,25.46,89.5
EML4,26787,25.45,89.46
JUN,10989,24.65,86.65
TMPRSS2,18798,24.4,85.77
NT5C3A,10588,24.07,84.61
CCND3,17454,23.89,83.98
ARAF,10513,23.62,83.03
GNA13,14698,22.87,80.39
