Symbol,Read_count,FPKM_value,TPM_value
HMGA1,252359,894,2751.07
RPS3A,192366,677.4,2084.54
HSP90AB1,220692,610.5,1878.67
PABPC1,286296,496.66,1528.35
RPL5,148768,424.35,1305.84
PTMA,165415,403.67,1242.2
HSP90AA1,242451,380.84,1171.94
EZR,153335,378.23,1163.91
RPL10,169441,289.49,890.84
NPM1,114719,247.05,760.24
CALR,64422,195.68,602.16
CNBP,43412,185.71,571.48
RHOA,51632,164.85,507.29
HLA-A,46220,140.6,432.66
YWHAE,64654,138.54,426.32
DDX5,122080,137.5,423.12
CCND1,79467,135.63,417.37
EIF3E,91237,125.25,385.43
RPL22,74355,125.09,384.94
SET,65992,124.92,384.41
B2M,55646,123.05,378.66
HNRNPA2B1,109598,119.81,368.69
TOP1,50138,110.57,340.25
EIF4A2,81712,109.83,337.98
H3-3B,80850,108.66,334.38
CDKN1A,38305,103.53,318.59
PCBP1,21623,101.86,313.45
MYC,36225,99.51,306.22
FAT1,192594,98.14,302
DDIT3,12532,81.6,251.11
SRSF2,29845,81.55,250.95
NONO,51945,80.92,249.01
HLA-B,29415,80.51,247.75
ZFP36L1,49278,78.73,242.27
MET,66559,77.95,239.87
SDC4,22624,71.38,219.66
RPN1,34515,71.27,219.32
TCEA1,36951,69.37,213.47
RAC1,25477,67.44,207.53
ATP1A1,59203,67.21,206.82
SF3B1,73530,66.14,203.53
H3-3A,24885,65.21,200.67
PTPN11,51883,61.14,188.14
SOX9,28977,60.71,186.82
KIF5B,42677,59.86,184.21
SFPQ,52898,58.72,180.7
RAD21,43156,57.45,176.79
DDX3X,59523,55.25,170.02
PRKAR1A,45438,54.91,168.97
CHD4,46979,51.82,159.46
PPP3CA,32074,50.72,156.08
CLTC,72815,50.71,156.05
TAF15,35892,50.07,154.08
TPM4,43940,48.86,150.36
TCF7L2,28661,47.88,147.34
CTNNB1,37201,46.37,142.69
EPHA2,22753,45.1,138.79
DNAJB1,19411,43.58,134.11
MYH9,47254,43.48,133.8
LMNA,36452,43.02,132.38
HIF1A,25864,41.39,127.37
GNAS,66529,41.17,126.69
SBDS,8604,40.95,126.01
EIF1AX,21675,40.36,124.2
CDK4,15237,39.65,122.01
PARP4,27970,37.92,116.69
DHX9,25723,37.56,115.58
IDH1,21278,37.15,114.32
NAB2,13328,36.5,112.32
U2AF2,17855,35.77,110.07
LASP1,30016,35.04,107.83
TRAF7,18887,34.68,106.72
RBM39,38897,34.45,106.01
TFG,20668,34.12,105
MSN,23759,32.8,100.93
DEK,17081,32.29,99.36
VHL,16069,31.44,96.75
JAK1,24041,31.37,96.53
CCNB1IP1,13865,31.06,95.58
NCOA4,15298,30.92,95.15
ATIC,14653,30.75,94.63
SDHB,9180,30.74,94.6
SDHD,9237,30.35,93.39
XPO1,43082,30.33,93.33
ID3,6564,30.11,92.66
TPM3,30526,30,92.32
SND1,23473,29.77,91.61
HOXA9,10913,29.7,91.39
TBL1XR1,38075,29.57,90.99
SRSF3,25124,29.1,89.55
TPR,43291,28.9,88.93
FUBP1,19673,28.62,88.07
PAFAH1B2,24516,28.45,87.55
CBFB,14219,28.39,87.36
CBLC,5421,28.3,87.09
EWSR1,35133,28.05,86.32
KLF5,13180,27.91,85.89
NT5C2,17438,27.88,85.79
LDB1,9407,27.79,85.52
IRAK1,13477,27.77,85.46
NFE2L2,19990,27.56,84.81
CDH1,20633,27.54,84.75
PICALM,19321,27.31,84.04
SMARCA1,14285,26.99,83.06
SMARCB1,8102,26.92,82.84
FUS,33317,26.71,82.19
NFKB2,14343,26.37,81.15
TP53,12411,25.99,79.98
HMGA2,48084,25.73,79.18
ETV5,17783,25.27,77.76
DDX6,35009,25.22,77.61
TCF3,18397,24.94,76.75
PSIP1,20407,24.86,76.5
PAK2,18703,24.59,75.67
NRAS,12968,24.03,73.95
UBE2D2,10342,23.98,73.79
MAP2K2,14807,23.31,71.73
TGIF1,22955,23.02,70.84
IFNGR1,7115,22.81,70.19
RGL3,11887,22.49,69.21
NDRG1,26802,22.49,69.21
UBR5,35362,22.28,68.56
GNA13,13778,22.25,68.47
RNF43,20084,22.06,67.88
JUN,9341,21.75,66.93
ACSL3,18982,21.61,66.5
RBFOX2,26049,21.44,65.98
HERPUD1,13376,21.39,65.82
SS18,15849,21.27,65.45
CANT1,11336,21.14,65.05
BTG1,12233,20.78,63.95
BCL9L,26173,20.61,63.42
KLF4,9103,20.51,63.11
GNAI2,18704,20.16,62.04
NPEPPS,28080,20.1,61.85
SEPTIN9,30701,19.7,60.62
TOP2A,15172,19.43,59.79
CDKN1B,6516,19.11,58.81
CARS1,22924,18.83,57.94
PPP2R1A,16881,18.71,57.58
ZCRB1,5490,18.5,56.93
SH3GL1,8271,18.5,56.93
EHD2,8779,18.45,56.78
KDM3B,17760,18.39,56.59
