Symbol,Read_count,FPKM_value,TPM_value
RPS3A,228679,927.74,3244.7
HSP90AB1,214771,684.48,2393.91
HMGA1,126644,516.88,1807.75
PTMA,179171,503.74,1761.79
HSP90AA1,276715,500.77,1751.4
EZR,172298,489.64,1712.48
PABPC1,240258,480.18,1679.39
RPL10,225047,442.97,1549.25
RPL5,124579,409.4,1431.84
HLA-A,110308,386.58,1352.03
HLA-B,90585,285.63,998.97
NPM1,108348,268.81,940.14
KLF5,98901,241.28,843.86
CALR,66266,231.89,811.02
RHOA,49257,181.18,633.66
CNBP,33536,165.28,578.05
CCND1,77682,152.75,534.23
EIF4A2,90607,140.31,490.72
CDKN1A,44310,137.98,482.57
PCBP1,22937,124.48,435.36
RPN1,51954,123.6,432.28
SET,55665,121.39,424.55
EIF3E,75496,119.4,417.59
RAC1,38847,118.48,414.37
H3-3B,73212,113.35,396.43
ZFP36L1,53895,99.2,346.94
DDX5,73895,95.89,335.37
YWHAE,38426,94.86,331.77
RPL22,47783,92.61,323.9
SND1,59339,86.7,303.23
MYC,26826,84.9,296.93
HNRNPA2B1,63447,79.91,279.48
ATP1A1,58820,76.94,269.09
NDRG1,71951,69.57,243.32
TOP1,25872,65.73,229.89
MYH9,61162,64.84,226.77
SF3B1,61346,63.58,222.37
SFPQ,49366,63.14,220.83
LMNA,45970,62.5,218.59
SRSF2,18663,58.75,205.47
NONO,32480,58.29,203.87
CLTC,71508,57.38,200.68
B2M,22192,56.54,197.74
DEK,24958,54.35,190.09
RNF43,42576,53.88,188.44
EGFR,73257,53.68,187.74
U2AF2,22157,51.14,178.86
AXIN2,28119,51.1,178.72
ATIC,20977,50.72,177.39
TPM4,38498,49.32,172.49
SBDS,8950,49.08,171.65
KIF5B,30294,48.96,171.23
NFKBIA,12145,48.61,170.01
H3-3A,15951,48.15,168.4
DDIT3,6366,47.76,167.04
EPHA2,19169,43.77,153.08
FAT1,70470,41.37,144.69
CHD4,32385,41.15,143.92
SOX9,16857,40.69,142.31
DDX3X,37218,39.8,139.2
RBM39,38943,39.74,138.99
NFKB2,18368,38.9,136.05
NCOA4,16512,38.45,134.48
KLF6,24843,38.43,134.41
CDH1,24957,38.37,134.2
CTNNB1,25815,37.07,129.65
EIF1AX,17264,37.04,129.54
XPO1,45534,36.94,129.2
RAD21,23876,36.62,128.08
MET,26935,36.34,127.1
CCNB1IP1,13950,36,125.91
SDHB,9245,35.66,124.72
TCF3,22399,34.99,122.38
KDM5C,31492,34.27,119.86
SDHD,9047,34.25,119.79
IRAK1,14420,34.23,119.72
TCEA1,15815,34.21,119.65
PTPN11,24605,33.4,116.81
SDC4,9103,33.09,115.73
TOP2A,22401,33.05,115.59
TAF15,20392,32.78,114.65
DDB2,16728,32.44,113.46
GOLGA5,11127,32.07,112.16
DNAJB1,12285,31.77,111.11
ID3,5939,31.39,109.78
