Node	HUGO
AKT	AKT1
Antisurvival	Antisurvival
APC	APC
ASK1	MAP3K5
ATM	ATM
BAX	BAX
BCATENIN	BCATENIN
BCL2	BCL2
CASP3	CASP3
CASP8	CASP8
CASP9	CASP9
CCL2	CCL2
CERAMIDE	CERAMIDE
CFLIP	CFLIP
COX2	PTGS2
CTL	CTL
CYCLIND1	CYCLIND1
CYTC	CYTC
DC	DCX
EP2	PTGER2	
ERK	MAPK1
FADD	FADD
FAS	FAS
FOS	FOS
GP130	IL6ST
GSK3B	GSK3B
IAP	ALPI
IFNG	IFNG
IKB	IKB
IKK	IKK
IL10	IL10
IL12	IL12
IL4	IL4
IL6	IL6
JAK	JAK
JNK	MAPK8
JUN	JUN
MAC	MAC
MDM2	MDM2
MEK	MEK
MEKK1	MAP3K1
MOMP	MOMP
NFKB	NFKB
P21	CDKN1A
P53	TP53
PGE2	PGE2
PI3K	PIK3CA
PP2A	PP2A
Prosurvival	Prosurvival
PTEN	PTEN
RAF	RAF
RAS	RAS
ROS	ROS1
S1P	MBTPS1
SMAC	DIABLO
SMAD	SMAD
SMAD7	SMAD7
SMASE	SMASE
SOCS	CISH
SOD	SOD
SPHK1	SPHK1
STAT3	STAT3
TBID	TBID
TGFB	TGFB1
TGFR	TGFR
TH1	NELFCD
TH2	TH2
TNFA	TNF
TNFR	TNFR
TREG	TREG
