Node	HUGO
mTOR2	mTOR2
Akt	AKT1
PDK1	PDK1,PDPK1
PP2A	PP2A
p53	TP53
AMPK	PRKAA2
CASP3	CASP3
Antisurvival	Antisurvival
ATF2	ATF2,GDNF
AP_1	AP_1
beta_catenin	beta_catenin
CREB	CREB	
ELK1	ELK1,KCNH4
ERK	MAPK1,EPHB2
GSK3beta	GSK3beta
JNK	MAPK8
p90RSK	RPS6KA1	
CytC	CytC
APAF1	APAF1
E2F1	E2F1
FOXO3	FOXO3 
Frizzled	Frizzled
APC	APC
ATM	ATM
p38	MAPK14,AHSA1,AIMP2
CyclinG	CyclinG	
DNA_damage	DNA_damage
Wip1	PPM1D
AXIN	AXIN
Bax	BAX
Bcl_2	Bcl_2
c_Myc	c_Myc	
S6K	RPS6KB1
Smad2_3_4	Smad2_3_4
STAT	SOAT1
Braf	BRAF
Ras	Ras
Src	SRC
BRCA1	BRCA1
CHK2	CHEK2	
mTOR1	mTOR1
CASP9	CASP9
XIAP	XIAP
CHK1	CHEK1
Cdc25	RASGRF1,CDC25C
MK2	MAPKAPK2
DNA_PK	DNA_PK
Craf	RAF1
MSK	SIK1
CyclinE	CyclinE
CyclinA	CyclinA
p21	CDKN1A,TCEAL1
p27	H3P23,IFI27,PSMD9,ZNRD2	
Rb	RB1
CyclinB	CyclinB
CyclinD	CyclinD
p15	H3P9,MRPL28,NXT1,CDKN2B,SUB1
p14ARF	CDKN2A
EGF	EGF
EGFR	EGFR
MEK	MEK
MK2Ps	MK2Ps
WNT	WNT
GAB1	GAB1,PIGU
Grb2	GRB2
GADD45	GADD45A
Smad2_3	Smad2_3
IRS	IRS
Shc	SHC1
SPRY	SPRY
IGFR	IGF1R
JAK	JAK
MKK4	MAP2K4
MKK7	MAP2K7
MKPs	MKPs
MDM2	MDM2
MDMX	MDM4
MEKK1	MAP3K1
MEKK2	MAP3K2
MEKK3	MAP3K3
TAK1	NR2C2,MAP3K7
MEKK4	MAP3K4	
MKK3_6	MKK3_6
MLKs	MLKs
TAO	TAO
TSC1_2	TSC1_2
PI3K	PIK3CA
p120RasGAP	RASA1
SHP2	PTPN11
PIP3	PIP3
PTEN	PTEN
TGFR	TGFR
Prosurvival	Prosurvival
Rac1	RAC1,RNASE1
Sos	Sos
SMAC	DIABLO
Smad7	SMAD7
TGF_beta	TGF_beta
