source,confidence,target,sign
MYC,A,TERT,1
SPI1,A,BGLAP,1
AP1,A,JUN,1
AP1,A,MTPN,1
SMAD3,A,JUN,1
SMAD4,A,JUN,1
STAT5A,A,IL2,1
STAT5B,A,IL2,1
RELA,A,FAS,1
WT1,A,NR0B1,1
NR0B2,A,CASP1,-1
SP1,A,ALDOA,1
TP53,A,IGF1R,-1
ZBTB16,A,CCNA2,-1
ETV6,A,IL3,-1
RUNX1,A,IL3,-1
RUNX1,A,RHD,1
STAT1,A,CDKN1A,1
STAT3,A,CDKN1A,1
TP53,A,POLI,1
ETV4,A,GGT1,1
MTF1,A,MCAT,1
CREB1,A,HMGCS2,1
FOXA2,A,GCG,1
NFATC2,A,GCG,1
CEBPB,A,PCK1,1
FOS,A,ABCB1,1
RELA,A,ABCB1,1
TCF3,A,TERT,1
PLAG1,A,PLAG1,1
TP53,A,CDKN1A,1
TP53,A,RB1,-1
E2F1,A,CDKN1A,1
E2F3,A,CDKN1A,1
HBP1,A,CDKN1A,-1
YY1,A,NR3C1,1
AP1,A,ESR1,1
ESR1,A,MAPK8,1
JUN,A,MAPK8,1
NR1I3,A,CYP2B6,1
CEBPG,A,IVL,1
MAFK,A,HBB,-1
NFE2L3,A,HBB,1
TP53,A,ACTA1,1
TP53,A,BCL2,-1
PHOX2A,A,DBH,1
STAT4,A,IL12B,1
STAT4,A,IFNA1,1
STAT4,A,IRF1,1
IRF1,A,IRF1,1
AP1,A,IL6,-1
ATF2,A,IL6,-1
WT1,A,ODC1,1
NR2C2,A,CCND1,1
IRF3,A,IFNA1,1
NFKB,A,BCL2,1
NFKB,A,BCL2A1,1
NFKB,A,SLC31A1,1
NFKB,A,TCF3,1
NFKB,A,TNF,1
NFKB,A,CCL13,1
TFAP2A,A,CCL13,1
FOS,A,FOS,-1
HNF1A,A,IGF1,1
STAT5A,A,IGF1,1
AP1,A,TIMP1,1
ETS1,A,TIMP1,1
ETV4,A,TIMP1,1
TCF3,A,NOS2,1
CEBPB,A,ADRA1D,1
ARNT,A,CYP1B1,1
ARNT,A,CYP21A1P,1
AHR,A,CYP1B1,1
TP53,A,CCNB1,-1
PAX6,A,L1CAM,-1
CARF,A,CREBBP,1
STAT5A,A,CCND1,1
STAT5A,A,IL3,1
CEBPB,A,VLDLR,1
NFYA,A,VLDLR,1
CEBPG,A,VLDLR,1
TP53,A,MDM2,1
TBP,A,ERVW-4,1
ZNF148,A,CDKN1A,1
NFIC,A,CREBBP,1
NFIC,A,SRC,1
NFIC,A,GAL,1
NFIC,A,NFIC,1
RBPJ,A,MYOD1,-1
RBPJ,A,HES1,1
HES1,A,HES1,-1
ATF2,A,CCND1,1
JUN,A,CCND1,1
FOS,A,MAPK14,1
GATA4,A,INHA,1
GATA4,A,GATA4,1
GATA6,A,GATA4,1
E2F3,A,RBL1,1
NFATC2,A,IL4,1
AP1,A,MAPK8,1
HNF4A,A,GUCY2C,1
RXRG,A,SFTPB,1
RARA,A,SFTPB,1
JUN,A,CDKN1A,1
JUN,A,TP53,-1
TP53,A,TP53,1
STAT3,A,PRF1,1
DBP,A,JTB,1
HLF,A,JTB,1
HLF,A,F8,1
PPARG,A,SERPINE2,1
PPARG,A,SERPINE1,1
MAX,A,PDLIM7,-1
USF2,A,PDLIM7,1
IRF1,A,SAMHD1,1
IRF2,A,SAMHD1,1
IRF1,A,IFNG,1
IRF1,A,NOS2,1
IRF2,A,NOS2,1
NFKB,A,IRAK1,1
NFKB,A,IRAK2,1
NFKB,A,TRAF2,1
SP1,A,FASLG,1
SP3,A,FASLG,-1
AR,A,PRKACA,1
AR,A,KLK3,1
AR,A,ARR3,1
PLAG1,A,ARR3,1
PLAG1,A,PRKACA,1
AR,A,LGALS4,1
CUX1,A,CFTR,-1
ATF1,A,CFTR,1
KAT7,A,CFTR,1
CREBZF,A,GAST,1
SP1,A,GAST,1
GLI3,A,GLI1,1
NKX2-5,A,NPPA,1
GATA4,A,NPPA,1
TGFB1I1,A,AR,1
RARB,A,MMP11,1
RARG,A,MMP11,1
RARG,A,RARB,1
AP1,A,CCL5,1
JUN,A,CCL5,1
NFKB,A,CCL5,1
NFKB,A,CD40,1
NFKB,A,IFNG,1
RELA,A,CD40,1
RELA,A,IFNG,1
TEAD1,A,TGFA,1
TFAP2A,A,TGFA,1
PPARA,A,NR1D1,1
ESR2,A,RARA,1
ESR1,A,RARA,1
NR3C1,A,IRS2,1
PGR,A,IRS2,1
NRG1,A,UTRN,1
NRG1,A,CHRNE,1
TBP,A,GTF2A1,1
AP1,A,NOS2,1
NFKB,A,NOS2,1
REL,A,NOS2,1
PAX6,A,KRT12,1
ISL1,A,NHLH1,1
SPI1,A,BMP4,1
AP1,A,CXCL8,1
NFKB,A,CXCL8,1
RARA,A,KRAS,1
RUNX1,A,KRAS,1
ZBTB14,A,MYC,-1
MYB,A,EPO,1
MYC,A,EPO,1
SP1,A,NF1,1
TCF3,A,IFNG,1
TP53,A,EIF2AK2,1
TP53,A,SGCG,1
PITX1,A,LHB,1
EGR1,A,LHB,1
EGR1,A,PRKCG,1
MYOD1,A,SP1,-1
SP1,A,MYOD1,1
TP53,A,FOS,-1
ETS2,A,BCL2L1,1
NFKB,A,CCND1,1
GTF2I,A,FOS,1
GTF2I,A,SMARCA4,1
SP1,A,FOS,1
YY1,A,FOS,1
SP1,A,EGR1,1
NR2F1,A,EGR1,-1
TBP,A,BTAF1,1
TBP,A,DNAH8,1
ENO1,A,MYC,-1
TP53,A,CCND1,-1
IRF2,A,ABCC8,1
IRF2,A,SMC3,1
FOS,A,RHOA,1
NFKBIA,A,RHOA,1
JDP2,A,LGALS1,-1
JUN,A,DCTN1,1
MAZ,A,PNMT,1
SP1,A,PNMT,1
NFIC,A,PCK1,1
CREB1,A,PCK1,1
NR4A1,A,PCK1,1
HMGA1,A,NOS2,1
RELA,A,NOS2,1
NFKB1,A,NOS2,1
USF1,A,USF1,1
CEBPB,A,DDIT3,1
ATF4,A,DDIT3,1
ATF3,A,ATF4,-1
ATF3,A,DDIT3,-1
ATF4,A,ATF3,1
TCF23,A,MMP1,1
TAF1,A,CCNA2,1
RUNX2,A,BGLAP,1
TFAP2A,A,FABP2,1
TFAP2B,A,FABP2,1
ATF2,A,SELE,1
HMGA1,A,SELE,1
NFKB,A,SELE,1
NFKB,A,FASLG,1
AP1,A,CTLA4,1
HNF1A,A,LCT,1
CREM,A,LIPE,-1
SMAD4,A,SERPINE1,1
SMAD3,A,SERPINE1,1
STAT1,A,IRF8,1
IRF8,A,IFNG,1
NFKB,A,ICAM1,1
MAZ,A,MAZ,1
TP53,A,S100A2,1
PAX6,A,GCG,1
TP53,A,BAX,1
TP53,A,CCNG1,1
TP53,A,CHKA,1
TP53,A,GADD45A,1
AP1,A,TFF3,1
ETV5,A,IFNG,1
STAT4,A,IFNG,1
DMTF1,A,CDKN2A,1
TP53,A,CDKN2A,1
PPARG,A,LPL,1
SP1,A,NPR1,1
SP3,A,NPR1,-1
NR5A1,A,CYP17A1,1
SP1,A,RAC2,1
SP3,A,RAC2,-1
NFKB,A,GFAP,1
NEUROD2,A,ITPR1,1
RUNX1,A,FOS,1
NEUROD1,A,AK1,1
HHEX,A,LBX1,-1
HHEX,A,HHEX,-1
FOXO3,A,FASLG,1
NFKB,A,VCAM1,1
CEBPZ,A,INS,1
USF1,A,ADGRE4P,1
USF1,A,FASN,1
USF1,A,INS,1
MBD1,A,FGF2,1
CEBPD,A,IGF1,1
NFKBIA,A,ANXA5,1
NFKB,A,BIRC3,1
NFKB,A,IL6,1
NFKBIA,A,IL6,1
ELK1,A,SOD1,1
YY1,A,SOD1,1
FLI1,A,GP9,1
FLI1,A,ITGA2B,1
HNF4A,A,SERPINB5,1
ELK1,A,EGR1,1
ELK4,A,EGR1,1
PREB,A,PRL,1
PREB,A,PRKACA,1
POU1F1,A,POU1F1,1
POU1F1,A,PRL,1
PBX1,A,PRKACA,1
POU1F1,A,PREB,1
POU1F1,A,PRKACA,1
PREB,A,POU1F1,1
PREB,A,PREB,1
STAT3,A,POMC,1
TP53,A,PTGS2,-1
TBP,A,PTGS2,1
TP53,A,TICAM2,1
TBP,A,RB1,1
PAX5,A,RB1,1
CREB1,A,CHGA,1
TFAP2A,A,ST3GAL4,1
SP1,A,CLCN2,1
SP3,A,CLCN2,-1
CEBPG,A,NOS2,1
CEBPB,A,NOS2,1
CEBPA,A,ALB,1
NFKB,A,CSF1,-1
TP53,A,ALOX15,1
LITAF,A,TNF,1
IRF1,A,IFN1@,1
IRF1,A,IFNL3,1
IRF2,A,IFN1@,1
IRF2,A,IFNL3,1
IRF3,A,IFN1@,1
IRF3,A,IFNL3,1
RELA,A,IFN1@,1
RELA,A,IFNL3,1
IRF2,A,IRF2,1
CREB1,A,CCND1,1
STAT1,A,IFNG,1
STAT6,A,IFNG,1
NFKB,A,COL1A2,-1
JUN,A,IL6,1
EGR1,A,IL1B,1
EGR1,A,IL1A,1
HIF1A,A,EPO,1
HLF,A,EPO,1
MYC,A,CDC25A,1
NFKB,A,NQO1,1
TFAP2A,A,NQO1,1
FOS,A,TGFB1,1
TP53,A,MMP1,-1
AP1,A,MMP1,1
SPI1,A,REG1A,1
SPI1,A,T,1
POU1F1,A,GHRHR,1
ARNT,A,EPO,1
TP73,A,MDM2,1
TP73,A,TP53,1
MYC,A,EMP1,1
ESR1,A,EMP1,1
KLF11,A,HBG1,1
KLF11,A,HBB,-1
NFATC2,A,TAT,1
TCF4,A,SSTR2,1
HIVEP2,A,SSTR2,1
ESR1,A,CRYAB,1
TP73,A,CDKN1A,1
E2F4,A,E2F1,-1
RUNX1,A,BCL2,1
POU1F1,A,TRHR,1
YY1,A,ACR,1
CREM,A,FSHB,-1
NFKB,A,PTGS2,1
AP1,A,MAP2K1,1
SP1,A,CDKN1A,1
GATA5,A,MYH7,1
GATA4,A,MYH7,1
GATA4,A,SLC8A1,1
SRF,A,SLC8A1,1
ELF1,A,IL5,1
ETS2,A,IL5,1
GATA3,A,IL5,1
ETS1,A,IL5,1
NFKB,A,TGFB1,1
SP1,A,TGFB1,1
TBP,A,CREBBP,1
MSX1,A,MSX1,-1
AP1,A,CLU,1
RUNX2,A,RUNX2,1
HLF,A,BCR,1
TCF3,A,BCR,1
OTX2,A,NCAM1,1
LHX2,A,PCYT1A,1
SP1,A,PCYT1A,1
DDIT3,A,HSPA5,1
AP1,A,GCLC,1
FOS,A,OXTR,1
GABPA,A,OXTR,1
JUN,A,OXTR,1
AP1,A,OXTR,1
TP53,A,NGF,1
REL,A,IL2RA,1
NR2C1,A,AGT,-1
FOS,A,AGTR2,1
NFKB,A,CCNG1,1
HSF2,A,HSP90B2P,1
SP1,A,LDLR,1
YY1,A,LDLR,-1
CEBPA,A,PCK1,1
WT1,A,CDKN1A,1
VDR,A,RARB,1
HOXC8,A,SMAD1,1
SP1,A,H19,1
TFAP2A,A,H19,1
AP1,A,IL5,1
AP1,A,TNF,1
POU4F2,A,DYNAP,1
AP1,A,IL1B,1
NFKB,A,IL1B,1
HR,A,IGFBP1,1
ATF1,A,CAT,1
RELB,A,SRC,1
AP1,A,ERCC1,1
FOS,A,ERCC1,1
YY1,A,CXCR4,-1
MYC,A,CXCR4,1
USF1,A,CXCR4,1
NFKB,A,IRF6,1
CUX1,A,NOS2,-1
CUX1,A,PI3,-1
CREB1,A,ANG,1
NR5A1,A,NR5A1,1
NR5A1,A,SF1,1
TP53,A,ITSN1,1
CEBPE,A,ELANE,1
DDIT3,A,EPO,1
NR5A1,A,LHB,1
NR0B1,A,LHB,-1
ATF2,A,TNF,1
JUN,A,TNF,1
GATA4,A,ADORA1,1
NKX2-5,A,ADORA1,1
AR,A,ACOT11,1
GATA4,A,ACOT11,1
GATA4,A,AR,1
NKX2-5,A,ACOT11,1
NKX2-5,A,AR,1
TCF3,A,ACOT11,1
TCF3,A,AR,1
CEBPB,A,KRAS,1
YY1,A,HMGCS2,-1
LEF1,A,CCND1,1
PAX6,A,SST,-1
CEBPB,A,STAR,1
NR5A1,A,STAR,1
POU1F1,A,FOS,1
POU1F1,A,SSTR5,1
EGR1,A,CISH,1
NR5A1,A,RHD,1
SRF,A,FOS,1
FOS,A,TF,1
ID1,A,FOS,-1
ZNF143,A,STUB1,1
MYC,A,CDKN1A,-1
JUN,A,IL2,1
SOX9,A,MIA,1
IRF2,A,CDKN1A,1
IRF1,A,IFNA1,1
IRF2,A,IFNA1,1
IRF1,A,IRF2,1
IRF2,A,IRF1,1
LITAF,A,MDM2,1
LITAF,A,MRPL41,1
LITAF,A,PIK3R1,1
LITAF,A,TP53,1
TP53,A,BTG2,1
TP53,A,GREM1,1
TP53,A,MRPL41,1
TP53,A,PIK3R1,1
SP3,A,CDKN1A,1
TP53,A,PCNA,1
STAT1,A,IFNB1,-1
AP1,A,FN1,1
AR,A,AR,1
ATF2,A,JUN,1
ATF2,A,GDI1,1
ATF2,A,TNFRSF11A,1
JUN,A,TNFRSF11A,1
YBX1,A,ERCC2,1
YBX1,A,ERCC3,1
YBX1,A,XRCC1,1
HSF1,A,CXCL8,1
HSF1,A,ICAM1,1
HSF1,A,IL6,1
HSF1,A,TNF,1
HSF1,A,IL1B,1
NFKB,A,HSF1,1
PPARA,A,UCP3,1
REL,A,JAG1,1
RELA,A,JAG1,1
NFKB,A,JAG1,1
NFKBIA,A,JAG1,1
HES1,A,FCER1G,-1
NFKB,A,SDC4,1
EGR1,A,F3,1
SRF,A,EGR1,1
SP1,A,SP1,1
FOXE1,A,TPO,1
POU4F1,A,BCL2,1
AP1,A,NOTO,1
NFKB,A,NOTO,1
NOTO,A,BTK,1
NOTO,A,NFASC,1
HNF4A,A,SERPINA1,1
HNF1A,A,SERPINA1,1
HNF1B,A,SERPINA1,1
SOX9,A,EPYC,1
EGR1,A,SRF,1
SRF,A,SRF,1
PAX3,A,FGF2,1
ID2,A,HBG1,-1
JUN,A,CSF2,1
NFATC2,A,CSF2,1
VDR,A,CSF2,1
MEF2A,A,JUN,1
GATA6,A,NPPA,1
SP140,A,IFNG,1
RUNX2,A,MMP13,1
YBX1,A,MMP13,-1
FLI1,A,EPO,1
FLI1,A,RB1,1
FLI1,A,CFC1,1
CEBPE,A,CEBPE,1
PDX1,A,CHKA,1
PDX1,A,INS,1
HNF4A,A,HNF1A,1
NR2F2,A,HNF1A,1
HNF1A,A,INS,1
NR1H4,A,CYP7A1,-1
ASCL1,A,NGF,1
HES1,A,NGF,-1
RFX1,A,PCNA,-1
AP1,A,DLD,1
CRX,A,SAG,1
NRL,A,SAG,1
E2F1,A,DHFR,1
TBP,A,DHFR,1
PAX5,A,IL2,1
USF1,A,JCHAIN,1
NR5A1,A,GRIN2C,1
T,A,RB1,1
JDP2,A,POLI,-1
UBTF,A,POLI,1
JUN,A,THBS1,1
WT1,A,THBS1,1
SP1,A,IGFBP4,1
ESR2,A,PRL,1
PBX1,A,PRL,1
RARB,A,GDI1,1
NR5A1,A,CTLA4,1
PBX1,A,T,1
MYBL2,A,BCL2,1
ELF2,A,TEK,1
ELF1,A,CD4,1
AR,A,NCOA4,1
NR2C2,A,CYP24A1,1
TP53,A,NDN,1
JUND,A,JUND,1
ZNF571,A,TRIM28,-1
AP1,A,TP53,1
MAX,A,TP53,-1
MYC,A,TP53,1
NFKB,A,TP53,1
FOS,A,TP53,1
NFKB1,A,TP53,1
RELA,A,TP53,1
CRX,A,GRB10,1
JUN,A,GSC,1
AP1,A,GHRHR,1
JUN,A,GHRHR,1
AP1,A,ALB,1
AP1,A,EPO,1
AP1,A,HBB,1
AP1,A,KRT18,1
TP63,A,IL12B,1
NFKBIA,A,NOS2,-1
NFKBIB,A,NOS2,1
NR2F2,A,ALDH2,1
AHR,A,ALDH3A1,1
OTX2,A,GRB10,1
HOXC6,A,NCAM1,1
HR,A,NCAM1,1
FOXO1,A,IGFBP1,1
STAT1,A,CSN2,1
STAT5A,A,CSN2,1
STAT5B,A,CSN2,1
GATA4,A,FGF3,1
IRF1,A,CCL4,1
IRF8,A,IRF8,1
IRF8,A,SAMHD1,1
TP53,A,PGAM2,1
SPI1,A,UTRN,1
AHR,A,CYP1A1,1
TCF3,A,CYP1A1,1
PITX2,A,SIGLEC1,1
NFKB,A,AKT1,-1
NR5A2,A,CYP7A1,-1
STAT1,A,SOCS3,1
STAT3,A,SOCS3,1
POU2F1,A,IL5,1
YY1,A,IL5,1
WT1,A,MTPN,1
SP1,A,CCND3,1
RARA,A,PLAU,1
SP1,A,PLAU,1
NFYA,A,NFY,1
LEF1,A,MMP7,1
SPI1,A,BTK,1
SP1,A,BTK,1
SP3,A,BTK,-1
SP3,A,SP1,-1
XBP1,A,EGFR,1
STAT6,A,IL4,1
STAT6,A,SELP,1
SREBF1,A,APOA2,1
SP1,A,SLC2A1,1
CEBPB,A,FSHB,1
GATA4,A,STAR,1
EGR1,A,MMP12,-1
AP1,A,MMP9,1
NFKB,A,MMP9,1
TCF3,A,EMC7,1
CEBPG,A,HP,1
LRRFIP1,A,PDGFA,-1
EGR1,A,PDGFA,1
SP1,A,PDGFA,1
JUN,A,JUN,1
TP53,A,IL6,1
TCF3,A,APP,1
TCF3,A,T,1
AP1,A,BTG1,1
NEUROD1,A,NEUROD1,1
TCF12,A,NEUROD1,1
AP1,A,ABCB1,1
JUN,A,ABCB1,1
RELA,A,CD40LG,1
IKZF3,A,BCL2,1
SP1,A,ABCC8,1
AP1,A,INS,1
STAT5A,A,GH1,1
STAT5A,A,INS,1
STAT5A,A,PRL,1
STAT5A,A,PRLR,1
STAT5B,A,GH1,1
STAT5B,A,INS,1
STAT5B,A,PRL,1
STAT5B,A,PRLR,1
PBX1,A,GDI1,1
STAT5A,A,GDI1,1
STAT5B,A,GDI1,1
PBX1,A,GH1,1
NFKBIB,A,PLG,1
E4F1,A,PVR,-1
SP1,A,CEBPA,-1
CEBPB,A,SP1,1
CEBPD,A,SP1,1
GTF2I,A,BTK,1
NR3C1,A,BCL2,-1
HOXB1,A,CD1A,1
STAT6,A,CREBBP,1
RBPJ,A,IL6,1
SP1,A,ODC1,1
SP3,A,ODC1,-1
JUN,A,IGFBP1,1
MYC,A,ACTB,1
MYC,A,BRCA1,1
NR5A1,A,CYP19A1,1
ENO1,A,IL6,-1
XBP1,A,IL6,-1
ZNF362,A,NODAL,1
PPARA,A,VCAM1,-1
ESR1,A,NRIP1,1
MYC,A,BIN1,1
MYC,A,ODC1,1
MYC,A,PTMA,1
NRF1,A,CXCR4,1
GATA1,A,BCL2L1,1
MYCN,A,NDRG1,-1
MYC,A,NDRG1,-1
MAX,A,NDRG1,-1
HOXB1,A,HOXB1,1
PKNOX1,A,HOXB1,1
NR4A3,A,IL2,1
NR4A3,A,IL4,1
NR4A3,A,ITK,1
NR4A3,A,CD28,1
TP63,A,CDKN1A,1
NRG1,A,PXN,1
NFKB,A,TRAF1,1
SSRP1,A,MAPK8,1
SSRP1,A,TRAF1,1
SP1,A,CYP11A1,1
MAZ,A,MYC,1
ZNF91,A,MYC,-1
SPI1,A,ACHE,1
SPI1,A,LARGE1,1
TBP,A,ACHE,1
SSRP1,A,INS,1
ESR1,A,COMT,1
AP1,A,MAPK3,1
SPI1,A,TIMP1,1
POU1F1,A,GH1,1
NR2C1,A,HRH1,-1
ATF1,A,EGR1,1
CREB1,A,EGR1,1
ATF1,A,MAP2K2,1
ID3,A,BMP4,-1
ID3,A,ID2,-1
ERF,A,CRYAA,-1
JUN,A,CRYAA,1
AP1,A,CRYAA,1
EGR1,A,ABCB1,1
ZNF354C,A,ABCB1,-1
WT1,A,ABCB1,1
USF1,A,PDX1,1
YY1,A,CETP,1
SREBF1,A,CETP,1
NFKB,A,NOS3,1
EGR1,A,EGF,1
EGR1,A,TKT,1
ELF1,A,FCGRT,-1
ELF1,A,IGHE,1
GATA1,A,FCGRT,1
GATA1,A,IGHE,1
HMGA1,A,LY6E,1
HMGA2,A,LY6E,1
POU2F1,A,LY6E,1
POU2F2,A,LY6E,1
GATA1,A,EPB42,1
PHOX2B,A,PHOX2B,1
PHOX2B,A,DBH,1
PHOX2B,A,FOS,1
POU1F1,A,PRDX6,1
SP1,A,PRDX6,1
CREB1,A,MYB,1
SREBF2,A,KPNB1,1
AHR,A,CDKN1B,1
AP1,A,EGR1,1
EGR1,A,EGR1,-1
EGR1,A,NR4A3,1
NFKB,A,EGR1,-1
ELF1,A,LYZ,1
ELF4,A,LYZ,1
SREBF1,A,SCD5,1
TP53,A,GABRA6,1
TP53,A,TUBB3,1
TTF1,A,SLC5A5,1
DLX4,A,GATA1,1
MEOX1,A,LBX1,1
MEOX2,A,LBX1,1
STAT1,A,CD40,1
NR0B1,A,STAR,-1
AR,A,STAR,1
T,A,KRAS,1
NFKB,A,PTAFR,1
NR1I2,A,CYP3A4,1
HNF1A,A,CYP7A1,1
NR1H3,A,CYP7A1,1
NR2F2,A,CYP7A1,1
IRF1,A,TNF,1
MITF,A,TPSB2,1
STAT5A,A,HSD3B2,1
MAX,A,STAT5A,-1
VDR,A,TERT,1
CREB1,A,PRL,1
NCOA1,A,PRL,1
NR4A1,A,PRL,1
VDR,A,PRL,1
NCOR1,A,MYOD1,-1
STAT1,A,IFNA1,1
WT1,A,WT1,-1
WT1,A,BCL2,1
FOS,A,CLU,-1
FOSL1,A,CLU,1
JUNB,A,CLU,1
CREB1,A,TH,1
JUN,A,SFTPB,1
PAX6,A,UNC5C,-1
ASCL1,A,EHD1,1
MTF2,A,ACE2,1
CREM,A,INS,-1
CREM,A,TAF4,-1
TBP,A,INS,1
GATAD2B,A,PSMD4,-1
GATAD2B,A,CREBBP,-1
SREBF1,A,PPARG,1
SREBF2,A,PPARG,1
SPI1,A,TAF2,1
ESR1,A,CKB,1
ESR2,A,OXT,1
PAX3,A,PAX3,1
PAX3,A,PDGFRA,1
CEBPG,A,HPN,1
SP1,A,HPN,1
TCF3,A,HPN,1
TFAP2A,A,HPN,1
SP1,A,ABCB1,1
YBX1,A,ABCB1,1
JUN,A,SPI1,1
AP1,A,SNCG,1
USF1,A,SPP1,1
HIF1A,A,VEGFA,1
SMAD4,A,CDKN1A,1
NFKB,A,CALCA,1
PDX1,A,S100G,1
VDR,A,S100G,1
DNMT1,A,CFTR,-1
KLF5,A,MYH10,1
KLF5,A,GZMA,1
ESR1,A,C3,1
NR3C1,A,CSN2,1
NR3C2,A,CSN2,1
PGR,A,CSN2,1
